"id","title","shorttitle","icon16x16","href","_blank","appid","itemtype","req_context_item_id","act_type"
"XU11","Agregar Usuario externo","Agregar","","/!/userext/tuserpro/_new/","0","userext.tuserpro","DET062","0","action"
"XU12","Editar Usuario externo","Editar","","/!/userext/tuserpro/@_src_context_item_id/","0","userext.tuserpro","DET062","1","action"
"XU13","Eliminar Usuario externo","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","userext.tuserpro","DET062","1","action"
"XU21","Administrar usuarios de cliente","Usuarios","","/!/userext/usrclient/?parent=@_src_context_item_id","0","userext.usrclient","DET014","1","action"
"XU22","Administrar secretos de cliente","Secretos","","/!/userext/secrets/?parent=@_src_context_item_id","0","userext.secrets","DET014","1","action"
